price in aud,brand,model number,made in,warranty,available colors,body type,engine type,engine power,torque,no. of cylinders,transmission type,drive type,gear box,steering type,minimum turning radius,front suspension,back suspension,length,width,height,wheel base,ground clearance,kerb weight,tyre size,wheel size,front brake,rear brake,mileage in city,mileage on highway,fuel type,seating capacity,fuel tank capacity (litres),no. of doors,air conditioner,heater,antilock braking system,central locking,power steering,power windows,anti-lock braking,brake assist,power door locks,rear seat belts,seat belt warning,door ajar warning,adjustable seats,engine immobilizer,crash sensor,engine check warning,rear camera,anti-theft device,touch screen,audio system remote control,speakers front & back,bluetooth connectivity,usb & auxiliary input,adjustable steering column,height adjustable driving seat,digital clock,outside temperature display,smoke headlamps,electric folding rear view mirror,automatic climate control,low fuel warning light,rear reading lamp,bottle holder,voice control,steering gear type,child safety locks,night rear view mirror,vehicle stability control system,parking sensors,radio,fog lights front & back,keyless entry,centrally mounted fuel tank,leather seats,electric adjustable seats,charger,maximum speed,acceleration time (0-100 kmph),dvd player,boot space,tyre pressure monitor,smart access card entry,fuel system,tyre type,cd player,xenon headlamps,displacement (cc),halogen headlamps,assembled in,cassette player,shock absorbers type,valve configuration,removable/convertible top,introduction date
"60,480",Toyota,bz4x xle 2023,japan,"3 years / 36,000 miles basic, 5 years / unlimited miles corrosion, 5 years / 60,000 miles drivetrain, 2 years / 25,000 miles maintenance, and 2 years / unlimited miles roadside assistance warranty.","black, elemental silver metallic, heavy metal, supersonic red, and wind chill pearl.",suv,electric,201 hp,196 lb-ft,,single-speed,front-wheel drive,,power,40 ft,,,184.6 in,73.2 in,65 in,112.2 in,8.1 in,"4,266 lbs",p235/60vr18,18 in x 7.5 in aluminum wheels,disc,disc,94 mpg,114 mpg,electric,5 seater,,4 doors,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,yes,yes,yes,yes,yes,,rack-pinion,yes,,,yes,,,,,,,yes  battery size: 71.4 kwh  range: 252 miles,tbc,,,,,,,,,,,,,,,,,
"47,362",Toyota,rav4 venza le 2022,japan,,"magnetic gray metallic, midnight black metallic, ruby flare pearl, silver sky metallic, white.",suv,2.5l inline-4 hybrid,219 hp @ 5700 rpm,163 lb-ft @ 3600 rpm,,continuously variable automatic,all-wheel drive,,power,36.1 ft,strut,multi-link,186.6 in,73 in,65.9 in,105.9 in,,3847 lbs,p225/60hr18,18 x 7,disc,disc,40 mpg,37 mpg,,5 seater,,4 doors,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,yes,yes,yes,yes,yes,,rack-pinion,yes,,,yes,,,,,,,,117 mph,,,,,,,tubeless,,,,,,,,,,
"45,691",Toyota,rav4 hybrid se 2022,japan,,"magnetic gray metallic, midnight black metallic, ruby flare pearl, silver sky metallic, white.",suv,2.5l inline-4 hybrid,219 hp @ 5700 rpm,163 lb-ft @ 3600 rpm,,continuously variable automatic,all-wheel drive,,power,36.1 ft,strut,multi-link,180.9 in,73 in,67 in,105.9 in,,3755lbs,p225/60hr18,18 x 7,disc,disc,41 mpg,38 mpg,,5 seater,,4 doors,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,yes,yes,yes,yes,yes,,rack-pinion,yes,,,yes,,,,,,,,117 mph,,,,,,,tubeless,,,,,,,,,,
"44,467",Toyota,rav4 xle premium 2022,japan,,"magnetic gray metallic, midnight black metallic, ruby flare pearl, silver sky metallic, white.",suv,2.5l inline-4 gas,203 hp @ 6600 rpm,184 lb-ft @ 5000 rpm,,automatic,front-wheel drive,8-speed,power,37.4 ft,strut,multi-link,180.9 in,73 in,67 in,105.9 in,,3405lbs,p235/55hr19,19 x 7.5,disc brakes,disc brakes,27 mpg,35 mpg,gasoline,5 seater,14.5 gallons,4 doors,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,yes,yes,yes,yes,yes,,rack-pinion,yes,,,yes,,,,,,,,119 mph,,,,,,,tubeless,,,,,,,,,,
"35,842",Toyota,c-hr nightshade 2022,japan,,"black sand pearl, blue eclipse metallic, magnetic gray metallic, supersonic red, wind chill pearl.",suv,2.0 inline 4 gas,144 hp 6100 rpm,139 lb-ft 3900 rpm,4-cylinder,continuously variable automatic,front-wheel drive,,power,34.2 ft,strut,multi-link,172.6 in,70.7 in,61.6 in,103.9 in,5.9 in,"3,300 lbs",p225/50vr18,18 x 7,discs,discs,27 mpg,31 mpg,petrol,5 seater,13.2 gallons,4 doors,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,yes,yes,yes,yes,yes,,rack & pinion,yes,,,yes,,,,yes,,yes,,115 mph,,,,,,,tubeless,,,,,,,,,,
"43,632",Toyota,gr86 premium 2022,japan,,"halo, neptune, pavement, raven, steel, track red, trueno blue.",coupe,2.4l flat 4 gas,228 hp 7000 rpm,184 lb-ft 3700 rpm,4,manual,rear-wheel drive,6-speed,rack-pinion,35.4,macpherson strut,torsion beam,167.9 in,69.9 in,51.6 in,101.4in,161 mm,1325 kg,p215/40yr18,18 x 7.5,discs,discs,20 mpg,27 mpg,,2 seater,,2 doors,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,,,yes,,yes,yes,,,yes,,,,,140 mph,,,,yes,,,tubeless,,,,,,,,,,
"60,840",KIA,carnival limousine plus,japan,"basic: 5 years / 60,000 miles basic, 7 years / 100,000 miles corrosion, 10 years / 100,000 miles drivetrain, and 5 years / unlimited miles roadside assistance","fusion black, vesta blue, gravity gray, and snow white pearl.",suv,d2.2l vgt diesel,[email protected],[email protected],4,automatic,front wheel drive,6-speed,power,30.2 ft,macpherson strut with coil spring,multi link,5115 mm,1985 mm,1755 mm,3060 mm,540 liters,"3,732 lbs",235/60 r18,r18,discs,discs,tbc,tbc,diesel,5 seater,,5 doors,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,,yes,yes,yes,,rack and pinion,yes,,yes,yes,,,yes,,,,,,,yes,,,,,,,,,,,,,,,
"65,722",KIA,carnival prestige 6 str,japan,"basic: 5 years / 60,000 miles basic, 7 years / 100,000 miles corrosion, 10 years / 100,000 miles drivetrain, and 5 years / unlimited miles roadside assistance","fusion black, vesta blue, gravity gray, and snow white pearl.",suv,d2.2l vgt diesel,[email protected],[email protected],4,automatic,front wheel drive,6-speed,power,30.2 ft,macpherson strut with coil spring,multi link,5115 mm,1985 mm,1755 mm,3060 mm,540 liters,"3,732 lbs",235/60 r18,r18,discs,discs,tbc,tbc,diesel,5 seater,,5 doors,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,,yes,yes,yes,,rack and pinion,yes,,yes,yes,,,yes,,,,,,,yes,,,,,,,,,,,,,,,
"60,840",KIA,carnival limousine,japan,"basic: 5 years / 60,000 miles basic, 7 years / 100,000 miles corrosion, 10 years / 100,000 miles drivetrain, and 5 years / unlimited miles roadside assistance","fusion black, vesta blue, gravity gray, and snow white pearl.",suv,d2.2l vgt diesel,[email protected],[email protected],4,automatic,front wheel drive,6-speed,power,30.2 ft,macpherson strut with coil spring,multi link,5115 mm,1985 mm,1755 mm,3060 mm,540 liters,"3,732 lbs",235/60 r18,r18,discs,discs,tbc,23 tbc,diesel,5 seater,,5 doors,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,,yes,yes,yes,,rack and pinion,yes,,yes,yes,,,yes,,,,,,,yes,,,,,,,,,,,,,,,
"17,280",KIA,sonet 1.5 htk diesel 2022,south korea,"basic: 5 years / 60,000 miles basic, 7 years / 100,000 miles corrosion, 10 years / 100,000 miles drivetrain, and 5 years / unlimited miles roadside assistance","intense red, glacier white pearl, beige gold with aurora black pearl, steel silver, aurora black pearl, beige gold, intelligence blue, glacier white pearl with aurora black pearl, gravity gray, and intense red with aurora black pearl",suv,1.5 l crdi vgt,98.63 bhp @ 4000 rpm,240 nm @ 1500 - 2750 rpm,4,automatic,front wheel drive,6-speed,power,,mcpherson strut with coil spring,coupled torsion beam axle with coil spring,3995 mm,1790 mm,1642 mm,2500 mm,156 mm,"3,732 lbs",p215/60r16,r16 inches,discs,discs,18.2 to 24.1 kmpl,,diesel,5 seater,45 litres,4 doors,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,rack & pinion,yes,,yes,yes,,,yes,,,yes,yes,170 km/h,0-100 km/h in 11.2 seconds,,,,,,,,,,,,,,,,
"22,550",KIA,sonet 1.5 htk plus diesel 2022,japan,"basic: 5 years / 60,000 miles basic, 7 years / 100,000 miles corrosion, 10 years / 100,000 miles drivetrain, and 5 years / unlimited miles roadside assistance","kia sonet is available in 10 different colours - intense red, glacier white pearl, beige gold with aurora black pearl, steel silver, aurora black pearl, beige gold, intelligence blue, glacier white pearl with aurora black pearl, gravity gray and intense r",suv,1.5 l crdi wgt,[email protected],[email protected],3,automatic,front wheel drive,6-speed,,,mcpherson strut with coil spring,coupled torsion beam axle with coil spring,3995 mm,1790 mm,1642 mm,2500 mm,,"3,732 lbs",215/ 60 r16,r16,discs,discs,tbc,tbc,diesel,5 seater,,4 doors,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,,yes,yes,yes,yes,,yes,,yes,yes,,,yes,,,yes,,,,,392 liters,,,,,,,,,,,,,,
"20,491",KIA,sonet htk plus turbo imt 2022,japan,"basic: 5 years / 60,000 miles basic, 7 years / 100,000 miles corrosion, 10 years / 100,000 miles drivetrain, and 5 years / unlimited miles roadside assistance","kia sonet is available in 10 different colours - intense red, glacier white pearl, beige gold with aurora black pearl, steel silver, aurora black pearl, beige gold, intelligence blue, glacier white pearl with aurora black pearl, gravity gray and intense r",suv,smartstream g1.0 t - gdi,[email protected],[email protected],3,automatic,front wheel drive,6-speed,,,mcpherson strut with coil spring,coupled torsion beam axle with coil spring,3995 mm,1790 mm,1642 mm,2500 mm,,"3,732 lbs",215/ 60 r16,r16,discs,discs,tbc,tbc,diesel,5 seater,,4 doors,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,,yes,yes,yes,yes,,yes,,yes,yes,,,yes,,,,,,,,392 liters,,,,,,,,,,,,,,
"18,677",KIA,sonet 1.2 htk plus 2022,japan,"basic: 5 years / 60,000 miles basic, 7 years / 100,000 miles corrosion, 10 years / 100,000 miles drivetrain, and 5 years / unlimited miles roadside assistance","kia sonet is available in 10 different colours - intense red, glacier white pearl, beige gold with aurora black pearl, steel silver, aurora black pearl, beige gold, intelligence blue, glacier white pearl with aurora black pearl, gravity gray and intense r",suv,smartstream g1.2,[email protected],[email protected],4,automatic,front wheel drive,6-speed,power,,mcpherson strut with coil spring,coupled torsion beam axle with coil spring,3995 mm,1790 mm,1642 mm,2500 mm,,"3,732 lbs",215/ 60 r16,r16,discs,discs,tbc,tbc,diesel,5 seater,,4 doors,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,,yes,yes,yes,yes,rack and pinion,yes,,yes,yes,,,yes,,,,,,,,392 liters,,,,,,,,,,,,,,
"18,648",KIA,sonet 1.5 hte diesel 2022,japan,"basic: 5 years / 60,000 miles basic, 7 years / 100,000 miles corrosion, 10 years / 100,000 miles drivetrain, and 5 years / unlimited miles roadside assistance","kia sonet is available in 10 different colours - intense red, glacier white pearl, beige gold with aurora black pearl, steel silver, aurora black pearl, beige gold, intelligence blue, glacier white pearl with aurora black pearl, gravity gray and intense r",suv,1.5 l crdi vgt,[email protected],[email protected],4,automatic,front wheel drive,6-speed,power,,mcpherson strut with coil spring,coupled torsion beam axle with coil spring,3995 mm,1790 mm,1642 mm,2500 mm,,"3,732 lbs",215/ 60 r16,r16,discs,discs,tbc,tbc,diesel,5 seater,,4 doors,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,,yes,yes,yes,yes,rack and pinion,yes,,yes,yes,,,yes,,,,,,,,392 liters,,,,,,,,,,,,,,
"18,648",KIA,sonet 2022,,"basic: 5 years / 60,000 miles basic, 7 years / 100,000 miles corrosion, 10 years / 100,000 miles drivetrain, and 5 years / unlimited miles roadside assistance","fusion black, vesta blue, gravity gray, and snow white pearl.",suv,1.5 l crdi vgt,[email protected],[email protected],4,automatic,front wheel drive,6-speed,power,,mcpherson strut with coil spring,coupled torsion beam axle with coil spring,3995 mm,1790 mm,1642 mm,2500 mm,,"3,732 lbs",215/ 60 r16,r16,discs,discs,,,,5 seater,,4 doors,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,,,yes,,yes,yes,yes,,rack and pinion,yes,,yes,yes,,,yes,,,,,,,yes,392 liters,,,,,,,,,,,,,,
"16,862",KIA,sonet 1.2 htk 2022,,"basic: 5 years / 60,000 miles basic, 7 years / 100,000 miles corrosion, 10 years / 100,000 miles drivetrain, and 5 years / unlimited miles roadside assistance","intense red, glacier white pearl, beige gold with aurora black pearl, steel silver, aurora black pearl, beige gold, intelligence blue, glacier white pearl with aurora black pearl, gravity gray and intense red with aurora black pearl.",suv,smartstream g1.2,[email protected],[email protected],,automatic,front wheel drive,6-speed,power,,mcpherson strut with coil spring,coupled torsion beam axle with coil spring,3995 mm,1790 mm,1642 mm,2500 mm,,"3,732 lbs",215/ 60 r16,r16,discs,discs,,,,5 seater,,4 doors,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,,,yes,,yes,yes,yes,,rack and pinion,yes,,yes,yes,,,yes,,,,,,,yes,392 liters,,,,,,,,,,,,,,
"14,832",KIA,sonet 1.2 hte 2022,,"basic: 5 years / 60,000 miles basic, 7 years / 100,000 miles corrosion, 10 years / 100,000 miles drivetrain, and 5 years / unlimited miles roadside assistance","intense red, glacier white pearl, beige gold with aurora black pearl, steel silver, aurora black pearl, beige gold, intelligence blue, glacier white pearl with aurora black pearl, gravity gray and intense red with aurora black pearl.",suv,1.5 l crdi vgt,[email protected],[email protected],,automatic,front wheel drive,6-speed,power,,mcpherson strut with coil spring,coupled torsion beam axle with coil spring,3995 mm,1790 mm,1642 mm,2500 mm,,"3,732 lbs",215/ 60 r16,r16,discs,discs,tbc,tbc,,5 seater,,4 doors,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,,,yes,,yes,yes,yes,,rack and pinion,yes,,yes,yes,,,yes,,,,,,,yes,392 liters,,,,,,,,,,,,,,
"56,434",KIA,sportage x-line prestige phev 2023,,"5 years / 60,000 miles basic, 5 years / 100,000 miles corrosion, 10 years / 100,000 miles drivetrain and 5 years / 60,000 miles roadside assistance warranty","fusion black, vesta blue, gravity gray, and snow white pearl.",suv,1.6l turbo inline-4 plug-in hybrid,267 hp,,,automatic,all-wheel drive,6-speed,power,38.6 ft,strut,multi-link,183.5 in,73.4 in,66.1 in,108.5 in,8.3 in,"3,732 lbs",p235/60hr19,19 in x 7.5 in aluminum wheels,discs,discs,,,plug-in hybrid,5 seater,,4 doors,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,,yes,yes,yes,yes,yes,,rack-pinion,yes,,yes,yes,yes,,yes,,,,yes,,,yes,,,,,,,,,yes,,,,,,
"52,114",KIA,sportage sx-prestige hybrid 2023,,"5 years / 60,000 miles basic, 5 years / 100,000 miles corrosion, 10 years / 100,000 miles drivetrain and 5 years / 60,000 miles roadside assistance warranty","fusion black, vesta blue, gravity gray, and snow white pearl.",suv,1.6l turbo inline-4 hybrid,177 hp @ 5500 rpm,195 lb-ft @ 1500 rpm,4,automatic,all-wheel drive,6-speed,power,38.6 ft,strut,multi-link,183.5 in,73.4 in,66.1 in,108.5 in,8.3 in,"3,732 lbs",p235/60hr18,18 in x 7.5 in aluminum wheels,discs,discs,38 mpg,38 mpg,gasoline,5 seater,13.7 gallons,4 doors,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,,yes,yes,yes,yes,yes,,rack-pinion,yes,,yes,yes,yes,,yes,,,,yes  battery size: 1.49 kwh,,,yes,,,,,,,,,yes,,,,,,
"44,338",KIA,sportage x-line 2023,,"5 years / 60,000 miles basic, 5 years / 100,000 miles corrosion, 10 years / 100,000 miles drivetrain and 5 years / 60,000 miles roadside assistance warranty","ebony black, sapphire blue, dawning red, glacial white pearl, glacier white pearl/ebony black roof, gravity gray, jungle green/ebony black roof, and wolf gray/ebony black roof.",suv,2.5l inline-4 gas,187 hp @ 6100 rpm,178 lb-ft @ 4000 rpm,4,automatic,all-wheel drive,8-speed,power,38.6 ft,strut,multi-link,183.5 in,73.4 in,66.9 in,108.5 in,8.3 in,"3,543 lbs",p235/65hr17,17 n x 7 in,discs,discs,23 mpg,28 mpg,gasoline,5 seater,14.3 gallons,4 doors,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,,yes,yes,yes,yes,yes,,rack-pinion,yes,,yes,yes,yes,,yes,,,,,,,yes,,,,,,,,,yes,,,,,,
"44,626",KIA,sportage ex hybrid 2023,,"5 years / 60,000 miles basic, 5 years / 100,000 miles corrosion, 10 years / 100,000 miles drivetrain and 5 years / 60,000 miles roadside assistance warranty","fusion black, vesta blue, gravity gray, and snow white pearl.",suv,1.6l turbo inline-4 hybrid,177 hp @ 5500 rpm,195 lb-ft @ 1500 rpm,4,automatic,all-wheel drive,6-speed,power,38.6 ft,strut,multi-link,183.5 in,73.4 in,66.1 in,108.5 in,8.3 in,"3,732 lbs",p235/60hr18,18 in x 7.5 in aluminum wheels,discs,discs,38 mpg,38 mpg,gasoline,5 seater,13.7 gallons,4 doors,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,,yes,yes,yes,yes,yes,,rack-pinion,yes,,yes,yes,yes,,yes,,,,yes  battery size: 1.49 kwh,,,yes,,,,,,,,,yes,,,,,,
"33,581",KIA,seltos gtx plus at d 2022,south korea,"5 years / 60,000 miles basic , 5 years / 100,000 miles corrosion , 10 years / 100,000 miles drivetrain , and 5 years / 60,000 miles roadside assistance warranty.","intense red, punchy orange, glacier white pearl, sparkling silver, clear white, gray, aurora black pearl, imperial blue, red with black, gravity gray and white pearl with black.",suv,1.5 l crdi vgt,[email protected],[email protected],,automatic,front wheel drive,6-speed,power,36.7 ft,mcpherson strut with coil spring,coupled torsion beam axle with coil spring,169.8 in,70.8 in,64.7 in,102.7 in,7.3 in,"3,087 lbs",p215/ 55 r18,18 in x 7 in aluminum wheels,discs,discs,18 mpg,23 mpg,diesel,5 seater,13.2 gallons,4 doors,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,,,yes,,yes,yes,yes,,rack and pinion,yes,,yes,yes,,,yes,,,,turbo,,,yes,,,,,,,,,,,,,,,
"30,802",KIA,seltos gtx plus 2022,south korea,"5 years / 60,000 miles basic , 5 years / 100,000 miles corrosion , 10 years / 100,000 miles drivetrain , and 5 years / 60,000 miles roadside assistance warranty.","intense red, punchy orange, glacier white pearl, sparkling silver, clear white, gray, aurora black pearl, imperial blue, red with black, gravity gray and white pearl with black.",suv,smartstream g1.4,[email protected],[email protected],4,manual,front wheel drive,6-speed,power,36.7 ft,mcpherson strut with coil spring,coupled torsion beam axle with coil spring,169.8 in,70.8 in,64.7 in,102.7 in,7.3 in,"3,087 lbs",p215/ 55 r18,18 in x 7 in aluminum wheels,discs,discs,16 mpg,18 mpg,petrol,5 seater,50 liters,4 doors,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,,,yes,,yes,yes,yes,,rack and pinion,yes,,yes,yes,,,yes,,,,turbo,,,yes,,,,,,,,,,,,,,,
"41,890",KIA,sportage lx hybrid awd 2023,,"5 years / 60,000 miles basic, 5 years / 100,000 miles corrosion, 10 years / 100,000 miles drivetrain and 5 years / 60,000 miles roadside assistance warranty","fusion black, steel gray, gravity gray, and snow white pearl.",suv,1.6l turbo inline-4 hybrid,177 hp @ 5500 rpm,195 lb-ft @ 1500 rpm,4,automatic,all-wheel drive,6-speed,power,38.6 ft,strut,multi-link,183.5 in,73.4 in,66.1 in,108.5 in,8.3 in,"3,732 lbs",p235/65hr17,17 in x 7 in aluminum wheels,discs,discs,38 mpg,38 mpg,hybrid,5 seater,13.7 gallons,4 doors,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,,yes,yes,yes,yes,yes,yes,rack-pinion,yes,,yes,yes,yes,,yes,,yes,yes,yes  battery size: 1.49 kwh,,,yes,,,,,,,,,yes,,,,,,
"39,298",KIA,sportage lx hybrid 2023,,"5 years / 60,000 miles basic, 5 years / 100,000 miles corrosion, 10 years / 100,000 miles drivetrain and 5 years / 60,000 miles roadside assistance warranty","fusion black, steel gray, gravity gray, and snow white pearl.",suv,1.6l turbo inline-4 hybrid,177 hp @ 5500 rpm,195 lb-ft @ 1500 rpm,4,automatic,front-wheel drive,6-speed,power,38.6 ft,strut,multi-link,183.5 in,73.4 in,65.4 in,108.5 in,7.1 in,"3,532 lbs",p235/65hr17,17 in x 7 in aluminum wheels,discs,discs,42 mpg,44 mpg,hybrid,5 seater,13.7 gallons,4 doors,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,,yes,yes,yes,yes,yes,yes,rack-pinion,yes,,yes,yes,yes,,yes,,yes,yes,,,,yes,,,,,,,,,yes,,,,,,
"69,250",KIA,sorento plug-in hybrid sx prestige 2022,south korea,"5 years / 60,000 miles basic , 5 years / 100,000 miles corrosion , 10 years / 100,000 miles drivetrain , and 5 years / 60,000 miles roadside assistance warranty.","aurora black, gravity blue, platinum graphite, silky silver, silky silver, runway red, and snow white pearl.",suv,1.6l turbo inline-4 plug-in hybrid,177 hp @ 5500 rpm,195 lb-ft @ 1500 rpm,4,automatic,all-wheel drive,6-speed,power,37.9 ft,strut,multi-link,189.4 in,74.8 in,66.7 in,110.8 in,6.9 in,"4,537 lbs",p235/55hr19,19 in x 7.5 in aluminum wheels,discs,discs,,,plug-in hybrid,6 seater,17.7 gallons,4 doors,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,yes,yes,yes,yes,yes,,rack-pinion,yes,,yes,yes,,,yes,,,,yes  battery size : 14 kwh,estimated 193 km/h,0-100 km/h in 7.2 seconds,,,,,,,,,,,,,,,,
"55,282",KIA,sorento hybrid ex awd 2022,south korea,"5 years / 60,000 miles basic , 5 years / 100,000 miles corrosion , 10 years / 100,000 miles drivetrain , and 5 years / 60,000 miles roadside assistance warranty.","aurora black, gravity blue, platinum graphite, silky silver, silky silver, runway red, and snow white pearl.",suv,1.6l turbo inline-4 hybrid,177 hp @ 5500 rpm,195 lb-ft @ 1500 rpm,4,automatic,all-wheel drive,6-speed,power,37.9 ft,strut,multi-link,189.4 in,74.8 in,66.7 in,110.8 in,6.9 in,"4,065 lbs",p235/55hr19,19 in x 7.5 in aluminum wheels,discs,discs,36 mpg,33 mpg,hybrid,6 seater,17.7 gallons,4 doors,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,yes,yes,yes,yes,yes,,rack-pinion,yes,,yes,yes,,,yes,,,,yes  battery size : 1 kwh,120 mph,8.6 sec,,,,,,,,,,,,,,,,
"35,266",KIA,forte gt manual 2022,,"basic: 5 years / 60000 miles , corrosion: 5 years / 100000 miles , drivetrain: 10 years / 100000 miles and roadside assistance: 5 years / 60000 miles","clear white, deep sea blue, gravity gray, silky silver, aurora black, currant red, and snow white pearl.",sedan,1.6l turbo inline-4 gas,201 hp @ 6000 rpm,195 lb-ft @ 1500 rpm,,manual,front-wheel drive,6-speed,power,34.8 ft,strut,multi-link,182.7 in,70.9 in,56.5 in,106.3 in,5.3 in,"2,989 lbs",p225/40hr18,18 in x 8 in aluminum wheels,discs,discs,22 mpg,31 mpg,petrol,5 seater,14 gallons,4 doors,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,,yes,yes,yes,yes,yes,yes,,,yes,,yes,yes,yes,,rack-pinion,yes,,,yes,,,,,,,,,,yes,,,,,,,,,,,,,dohc,,
"59,472",KIA,carnival sx 2023,,"5 years / 60,000 miles basic , 5 years / 100,000 miles corrosion , 10 years / 100,000 miles drivetrain , and 5 years / 60,000 miles roadside assistance warranty.","flare red, pantera metal, astra blue, aurora black, ceramic silver, and snow white pearl.",minivan,3.5l v6 gas,290 hp @ 6400 rpm,262 lb-ft @ 5000 rpm,6,automatic,front-wheel drive,8-speed,rack & pinion with electronic motor,37.7 ft,mcpherson strut,multi link,203 in,78.5 in,69.9 in,121.7 in,,"4,601 lbs",p235/55tr19,19 in x 7.5 in aluminum wheels,discs,discs,19 mpg,26 mpg,premium unleaded,8 seater,19 gallons,5 doors,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,,,yes,,yes,yes,yes,,,yes,,,yes,,,yes,,,yes,,,,,,,,,,,,,,,,,,,
